symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
MIDCAPETF,INF769K01IC9,2024-12-24,BSE,EQ,B,buy,false,100.000000,21.400000,301990100,1735011900011507650,2024-12-24T10:52:38
GOLDBEES-E,INF204KB17I5,2024-12-24,BSE,EQ,E,buy,false,100.000000,63.820000,300633000,1735011900020026187,2024-12-24T10:53:45
NIFTYBEES,INF204KB14I2,2024-12-26,BSE,EQ,B,buy,false,19.000000,265.500000,3276800,1735190246666376553,2024-12-26T11:23:40
HDFCSML250,INF179KC1FB2,2024-12-26,BSE,EQ,B,buy,false,23.000000,177.000000,5497500,1735195626537870538,2024-12-26T13:31:29
HDFCSML250,INF179KC1FB2,2024-12-26,BSE,EQ,B,buy,false,2.000000,177.000000,5248800,1735195626537870538,2024-12-26T13:31:29
CDSL,INE736A01011,2024-12-26,NSE,EQ,EQ,sell,false,4.000000,1800.000000,4278214,1000000037208342,2024-12-26T13:46:29
YESBANK,INE528G01035,2024-12-26,BSE,EQ,A,sell,false,330.000000,19.790000,8035600,1735194575230817733,2024-12-26T14:09:54
MIDCAPETF,INF769K01IC9,2024-12-26,BSE,EQ,B,buy,false,100.000000,21.310000,5234200,1735200383605726145,2024-12-26T14:12:27
RELIANCE,INE002A01018,2024-12-26,NSE,EQ,EQ,buy,false,1.000000,1220.000000,605462106,1300000038943777,2024-12-26T14:12:53
RELIANCE,INE002A01018,2024-12-26,NSE,EQ,EQ,buy,false,1.000000,1220.000000,605464548,1300000038996358,2024-12-26T14:13:21
NIFTYBEES,INF204KB14I2,2024-12-26,NSE,EQ,EQ,buy,false,18.000000,265.500000,406444672,1200000051339199,2024-12-26T14:16:47
JUNIORBEES,INF732E01045,2024-12-27,BSE,EQ,B,buy,false,2.000000,736.390000,3606100,1735281393557889520,2024-12-27T13:37:46
